Customer_ID,Name,Date_of_Purchase,Product,Frequency,Gender,Age_Group,Region,Annual_Income
a1c3ac91-3afe-4b12-b186-6eb9b104c12e,Mark Gonzalez,2024-08-28,Smartphone,5,Other,26-35,Oceania,40344
c0ce117b-4dd6-491d-aee8-039f86db5b45,Benjamin Norris,2024-09-02,TV,5,Male,56-65,Asia,43301
01b98d9a-7b60-4d4a-9d15-567bd7ecc917,Shannon Love,2025-02-08,Gaming Console,2,Male,56-65,Oceania,65778
bbbacfab-e474-4332-a497-5d84feb5f892,Jennifer Nelson,2023-06-12,Smartphone,5,Other,65+,Europe,97751
1182f6e7-e44a-42cf-bd99-3af5654bd55a,Carmen Lambert,2023-12-14,Gaming Console,9,Female,46-55,Oceania,137702
be188e8d-7778-491a-b746-6c18ecf4bb47,Troy Jenkins,2023-09-28,Gaming Console,1,Female,36-45,North America,42593
ce7b9070-29ab-447f-8bc7-d23db8cf4ccc,Michael Hester,2024-03-08,Tablet,4,Female,46-55,Africa,118770
ae327b17-f0f7-407f-bfb6-8cdebfe71ea5,Jennifer Salazar,2024-11-11,Bluetooth Speaker,10,Male,56-65,North America,59542
b49c1157-9cc7-4921-9033-b302d17afb7b,Pamela Myers,2025-03-06,Tablet,9,Other,36-45,Asia,69917
bb2650ec-9e84-4e97-9b56-a463e2fe0f72,Matthew Wade,2023-11-26,TV,9,Male,26-35,Oceania,116576
f04af0e4-dbd2-4a29-9d89-a5db45979c3a,Erik Castro,2024-11-09,Smartphone,10,Female,36-45,Oceania,46717
9a3cd7e4-f62b-40e6-b670-58f940723edb,Kristina Hopkins,2025-03-01,Bluetooth Speaker,6,Female,26-35,Africa,126422
453aa41f-ed3c-4221-8d7a-0d16a38f4507,Gregory Johnson,2024-11-19,Headphones,8,Female,26-35,Asia,107613
d7cbd712-9ea8-4a79-846b-238b8d2b2a64,James Glass,2024-02-01,Headphones,10,Male,36-45,North America,86674
b5d5349a-b2be-4502-a520-7d5a1b0c90b0,Rita Stevens,2024-05-02,Smartphone,4,Male,56-65,South America,69731
93a4f9f7-718d-4267-b755-cd6f0bc042ce,Hailey Espinoza,2024-02-05,Laptop,7,Female,46-55,South America,47015
32f065e4-5961-4fe5-95b8-97ab0055af10,Randall Johnson,2024-05-10,Camera,7,Male,18-25,Asia,148585
7b80276b-5243-4c08-a47c-76f6287abf4a,Lisa Snyder,2025-03-29,Laptop,2,Other,18-25,Europe,66768
1d6c8a63-ffd8-479f-92a7-695ec946b3da,Eileen Stevenson,2023-10-24,Smartphone,6,Other,18-25,Asia,48158
21ff7a89-63d0-4abd-8a79-066c3122f51a,Corey Rowland,2024-02-09,Bluetooth Speaker,10,Other,46-55,Europe,143949
51ff0a4a-1f2f-4109-b4a6-100586d07489,John Sims,2025-02-05,VR Headset,3,Female,18-25,North America,144009
da8b5b04-a9c4-471b-b207-5cfb0395d12d,Amanda Robinson,2024-01-15,VR Headset,3,Male,26-35,Europe,45087
8bcdfe02-688a-4096-b204-4e6e292db985,John Wilson,2024-09-23,Tablet,10,Female,36-45,Europe,97141
b6721c80-7153-4962-834c-e1411f31440f,Curtis Martinez,2023-06-10,Bluetooth Speaker,10,Female,18-25,Africa,118582
c93ff54c-e52f-4e97-a91f-6f1b501252e3,Nicholas Aguilar,2023-06-16,Smartwatch,10,Female,56-65,Oceania,145140
fb895474-e722-4e43-8e64-4e3177bdff2a,Kristen Hawkins,2024-06-10,TV,4,Other,26-35,Africa,48292
3c68f708-1220-45ab-8248-437c056fde04,Melissa Kelley,2024-11-24,Camera,8,Male,18-25,Asia,22948
5b19938d-a709-4be3-8fd0-8737f1c3b6bf,Jennifer Rose,2024-07-29,Smartwatch,7,Male,46-55,Oceania,33315
7f1f8dba-b3cd-42ae-9e63-4d5c7bccb701,Melissa Estrada,2023-09-24,TV,5,Other,36-45,Asia,56616
9d3894e8-9d3c-496b-935b-6dca2e9bd250,Sara Hancock,2023-08-19,TV,9,Female,18-25,Europe,31905
7d9fe7d1-51ee-4014-9d4a-585756e55919,Nicole Washington,2024-08-29,VR Headset,1,Male,18-25,North America,145886
ac9e4a79-7348-497c-93f6-3360ced59a7c,Christina Vaughan,2025-03-23,Laptop,5,Other,65+,Oceania,131367
